CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Murkrow,1,435.0,-2.0
Murkrow,2,435.0,-1.0
Murkrow,3,435.0,3.5
Murkrow,4,435.0,9.5
Murkrow,5,435.0,15.0
Murkrow,6,435.0,18.5
Murkrow,7,435.0,20.5
Murkrow,8,435.0,19.799999999999567
Murkrow,9,435.0,14.799999999999496
Murkrow,10,435.0,9.0
Murkrow,11,435.0,3.5
Murkrow,12,435.0,0.0
Shaymin,1,811.0,0.5
Shaymin,2,811.0,1.8000000000000385
Shaymin,3,811.0,6.200000000000134
Shaymin,4,811.0,10.5
Shaymin,5,811.0,15.200000000000456
Shaymin,6,811.0,18.599999999999334
Shaymin,7,811.0,20.5
Shaymin,8,811.0,19.799999999999567
Shaymin,9,811.0,15.5
Shaymin,10,811.0,10.200000000000323
Shaymin,11,811.0,5.100000000000161
Shaymin,12,811.0,1.5
Xurkitree,1,322.0,11.5
Xurkitree,2,322.0,12.5
Xurkitree,3,322.0,14.5
Xurkitree,4,322.0,16.5
Xurkitree,5,322.0,19.799999999999567
Xurkitree,6,322.0,23.5
Xurkitree,7,322.0,26.80000000000072
Xurkitree,8,322.0,27.0
Xurkitree,9,322.0,24.0
Xurkitree,10,322.0,19.5
Xurkitree,11,322.0,15.0
Xurkitree,12,322.0,12.0
Skitty,1,368.0,6.0
Skitty,2,368.0,6.200000000000061
Skitty,3,368.0,8.5
Skitty,4,368.0,10.799999999999613
Skitty,5,368.0,13.799999999999573
Skitty,6,368.0,16.5
Skitty,7,368.0,18.20000000000032
Skitty,8,368.0,18.5
Skitty,9,368.0,16.5
Skitty,10,368.0,13.0
Skitty,11,368.0,9.200000000000278
Skitty,12,368.0,6.799999999999813
Hariyama,1,427.0,11.5
Hariyama,2,427.0,12.5
Hariyama,3,427.0,14.5
Hariyama,4,427.0,16.5
Hariyama,5,427.0,19.799999999999567
Hariyama,6,427.0,23.5
Hariyama,7,427.0,26.80000000000072
Hariyama,8,427.0,27.0
Hariyama,9,427.0,24.0
Hariyama,10,427.0,19.5
Hariyama,11,427.0,15.0
Hariyama,12,427.0,12.0
Turtonator,1,247.0,0.5
Turtonator,2,247.0,1.8000000000000385
Turtonator,3,247.0,6.200000000000134
Turtonator,4,247.0,10.5
Turtonator,5,247.0,15.200000000000456
Turtonator,6,247.0,18.599999999999334
Turtonator,7,247.0,20.5
Turtonator,8,247.0,19.799999999999567
Turtonator,9,247.0,15.5
Turtonator,10,247.0,10.200000000000323
Turtonator,11,247.0,5.100000000000161
Turtonator,12,247.0,1.5
Gastly,1,271.0,6.0
Gastly,2,271.0,6.200000000000061
Gastly,3,271.0,8.5
Gastly,4,271.0,10.799999999999613
Gastly,5,271.0,13.799999999999573
Gastly,6,271.0,16.5
Gastly,7,271.0,18.20000000000032
Gastly,8,271.0,18.5
Gastly,9,271.0,16.5
Gastly,10,271.0,13.0
Gastly,11,271.0,9.200000000000278
Gastly,12,271.0,6.799999999999813
Tepig,1,401.0,4.0
Tepig,2,401.0,4.5
Tepig,3,401.0,6.5
Tepig,4,401.0,8.5
Tepig,5,401.0,11.5
Tepig,6,401.0,14.0
Tepig,7,401.0,16.0
Tepig,8,401.0,15.5
Tepig,9,401.0,13.0
Tepig,10,401.0,10.0
Tepig,11,401.0,6.5
Tepig,12,401.0,4.5
Grafaiai1,1,723.2222222222222,-2.0
Grafaiai1,2,725.5,-1.0
Grafaiai1,3,727.7777777777778,3.5
Grafaiai1,4,723.2222222222222,9.5
Grafaiai1,5,725.5,15.0
Grafaiai1,6,727.7777777777778,18.5
Grafaiai1,7,723.2222222222222,20.5
Grafaiai1,8,725.5,19.799999999999567
Grafaiai1,9,725.5,14.799999999999496
Grafaiai1,10,725.5,9.0
